packaging_size,product_count,avg_price
50g,14,348.5
100g,14,1424.5
200g,4,1600.17375
18g,1,0.0
222g,2,0.0
5g,5,245.0
12count,2,0.0
60count,1,0.0
25g,4,158.75
114g,1,0.0
70g,1,0.0
1count,2,0.3
80g,1,0.0
1g,1,0.2395
75g,1,0.995
510ml,1,0.1695
550ml,1,0.1795
430ml,1,0.1695
450ml,1,0.1695
15ml,1,0.895
700ml,1,0.3195
420ml,1,0.1795
10count,1,0.0
9135g,1,0.229
4ml,1,0.645
500ml,1,0.895
100ml,1,0.1095
130ml,1,0.0
45g,1,0.21
56g,1,0.3195
57g,2,0.15975
20g,3,90.0
23g,1,85.0
200ml,3,106.66666666666667
140g,1,375.0
40g,2,180.0
220ml,7,159.71428571428572
95g,1,1650.0
400g,1,1150.0
190g,1,2950.0
350g,1,1195.0
623g,1,725.0
440g,1,500.0
240ml,5,449.93999999999994
