name,price,source,rating,reviews_count,brand,type,packaging,price_tier
"Nestle Nescafe 3in1 Coffee, 20g",60.0,naheed.pk,0,0,Nescafe,instant,"{'value': 20.0, 'unit': 'g', 'display': '20g'}",low
"Nestle Nescafe Gold Cappuccino Coffee, 15.5g",150.0,naheed.pk,0,0,Nescafe,instant,"{'value': 5.0, 'unit': 'g', 'display': '5g'}",low
"Nestle Nescafe Chilled Latte Coffee Drink, 200ml",110.0,naheed.pk,0,0,Nescafe,instant,"{'value': 200.0, 'unit': 'ml', 'display': '200ml'}",low
"Nestle Nescafe Classic Coffee, 50g",999.0,naheed.pk,0,0,Nescafe,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low
"Nestle Nescafe Instant Coffee Choco Hazelnut Ice, 25g",85.0,naheed.pk,0,0,Nescafe,instant,"{'value': 25.0, 'unit': 'g', 'display': '25g'}",low
"Nestle Nescafe 3-In-1 Salted Caramel Ice Coffee Sachet, 23g",85.0,naheed.pk,0,0,Nescafe,instant,"{'value': 23.0, 'unit': 'g', 'display': '23g'}",low
"Nestle Nescafe Classic Coffee, 100g",1900.0,naheed.pk,0,0,Nescafe,instant,"{'value': 100.0, 'unit': 'g', 'display': '100g'}",mid
"Nescafe Classic Instant Coffee Sachet, 1.5g",25.0,naheed.pk,0,0,Nescafe,instant,"{'value': 5.0, 'unit': 'g', 'display': '5g'}",low
"Klassno Classic Premium Blend Coffee Sachet, 1.5g",25.0,naheed.pk,0,0,Unknown,instant,"{'value': 5.0, 'unit': 'g', 'display': '5g'}",low
"Nestle Nescafe Chilled Mocha Coffee Drink, 200ml",110.0,naheed.pk,0,0,Nescafe,instant,"{'value': 200.0, 'unit': 'ml', 'display': '200ml'}",low
"Kopiko Coffee Candy, 140g, Pouch",375.0,naheed.pk,0,0,Unknown,instant,"{'value': 140.0, 'unit': 'g', 'display': '140g'}",low
"Nestle Nescafe Classic Coffee, 200g",3500.0,naheed.pk,0,0,Nescafe,instant,"{'value': 200.0, 'unit': 'g', 'display': '200g'}",premium
