name,price,rating,reviews_count,source,brand,type,packaging,price_tier,id,scraped_at,image_url
Nescafe Classic Coffee Jar 50g,944.0,0,0,daraz.pk,Nescafe,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
Nescafe Classic Coffee Jar 100g,1899.0,0,0,daraz.pk,Nescafe,instant,"{'value': 100.0, 'unit': 'g', 'display': '100g'}",mid,,,
Nescafe Classic Coffee Jar 200g,3300.0,0,0,daraz.pk,Nescafe,instant,"{'value': 200.0, 'unit': 'g', 'display': '200g'}",premium,,,
Private Club Espresso Coffee - 50G,730.0,0,0,daraz.pk,Espresso,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
Private Club French Vanilla Flavored Coffee - 50G,730.0,0,0,daraz.pk,Unknown,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
D-Cafe Classic Coffee jar 70g,949.0,0,0,daraz.pk,Unknown,instant,"{'value': 70.0, 'unit': 'g', 'display': '70g'}",low,,,
Roasted Coffee Beans 100g (Mix of Arabica & Robusta) Coffee Beans  100gm,695.0,0,0,daraz.pk,Unknown,beans,"{'value': 100.0, 'unit': 'g', 'display': '100g'}",low,,,
Private Club Caramel Flavored Coffee - 50G,730.0,0,0,daraz.pk,Unknown,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
Nescafe Coffee 3in1 30 Sachets,1800.0,0,0,daraz.pk,Nescafe,instant,"{'value': 30.0, 'unit': 'count', 'display': '30count'}",mid,,,
Davidoff Cafe Espresso 57 Intense Instant Coffee 100gm Jar,2300.0,0,0,daraz.pk,Davidoff,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid,,,
Acorn Coffee 100g,560.0,0,0,daraz.pk,Unknown,instant,"{'value': 100.0, 'unit': 'g', 'display': '100g'}",low,,,
Nescafyyyy Classic Double Filtered Coffee Granule Glass Bottle | 25 cups coffe inside | 50g | In best & orignal quality | Imported,920.0,0,0,daraz.pk,Unknown,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
Starbucks creamy vanilla coffee pods 10 ( imported from France),1990.0,0,0,daraz.pk,Unknown,capsule/pod,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid,,,
Private Club Hazelnut Flavored Coffee - 50G,730.0,0,0,daraz.pk,Unknown,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
"Coffee Sachets, 2gm, Pack of 10,30 & 60 Sachets)",950.0,0,0,daraz.pk,Unknown,instant,"{'value': 60.0, 'unit': 'count', 'display': '60count'}",low,,,
Private Club - Flavored Coffee - Expresso - 50g (Imported & Halal)- Instant Coffee,795.0,0,0,daraz.pk,Unknown,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
Classic Coffee Black Sealed Bottle Original & imported Quality 50g,929.0,0,0,daraz.pk,Unknown,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
