name,source,location,address,rating,user_ratings_total,price_level,price_text,category,phone,website,url,collected_at
New York Coffee۔ نیویارک کافی,Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/New+York+Coffee%DB%94+%D9%86%DB%8C%D9%88%DB%8C%D8%A7%D8%B1%DA%A9+%DA%A9%D8%A7%D9%81%DB%8C%E2%80%AD/data=!4m7!3m6!1s0x3eb33e85a24caa7f:0x9716f7757ab105e0!8m2!3d24.8636409!4d67.054937!16s%2Fg%2F11c5_c802c!19sChIJf6pMooU-sz4R4AWxenX3Fpc?authuser=0&hl=en&rclk=1,2025-05-10T16:29:43.383570
Esquires Coffee,Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/Esquires+Coffee/data=!4m7!3m6!1s0x3eb33dadc06571ff:0xfbe1c6b4a50c3f4a!8m2!3d24.8165027!4d67.0419418!16s%2Fg%2F11f4qqkwx6!19sChIJ_3FlwK09sz4RSj8MpbTG4fs?authuser=0&hl=en&rclk=1,2025-05-10T16:29:43.955542
MOCCA COFFEE,Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/MOCCA+COFFEE/data=!4m7!3m6!1s0x3eb33ce2f4046cb7:0xef6b88759d5b75b5!8m2!3d24.794566!4d67.0485315!16s%2Fg%2F11c5bnq75d!19sChIJt2wE9OI8sz4RtXVbnXWIa-8?authuser=0&hl=en&rclk=1,2025-05-10T16:29:44.389240
Butlers Chocolate Café,Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/Butlers+Chocolate+Caf%C3%A9/data=!4m7!3m6!1s0x3eb33dade51dac03:0xe6b354c7366d2462!8m2!3d24.8171581!4d67.0410315!16s%2Fg%2F1thx724_!19sChIJA6wd5a09sz4RYiRtNsdUs-Y?authuser=0&hl=en&rclk=1,2025-05-10T16:29:44.775987
FLOC - for the love of coffee,Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/FLOC+-+for+the+love+of+coffee/data=!4m7!3m6!1s0x3eb33db1ee896cd9:0x46157d001539229b!8m2!3d24.8188218!4d67.0394046!16s%2Fg%2F11dyyxmgjz!19sChIJ2WyJ7rE9sz4RmyI5FQB9FUY?authuser=0&hl=en&rclk=1,2025-05-10T16:29:45.171338
Esquires Coffee,Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/Esquires+Coffee/data=!4m7!3m6!1s0x3eb339ac89413d93:0xe92dfad624e0f558!8m2!3d24.9011677!4d67.1136733!16s%2Fg%2F11k4vgbkmv!19sChIJkz1Biaw5sz4RWPXgJNb6Lek?authuser=0&hl=en&rclk=1,2025-05-10T16:29:45.568952
Espresso Tipu Sultan,Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/Espresso+Tipu+Sultan/data=!4m7!3m6!1s0x3eb33ea48bc9a1a9:0x9e96b0705aab23af!8m2!3d24.8677428!4d67.0776087!16s%2Fg%2F11c2kfsfby!19sChIJqaHJi6Q-sz4RryOrWnCwlp4?authuser=0&hl=en&rclk=1,2025-05-10T16:29:46.010763
Gloria Jean's Coffees SMCHS,Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/Gloria+Jean%27s+Coffees+SMCHS/data=!4m7!3m6!1s0x3eb33e859be230bb:0xd109a50664ecebd9!8m2!3d24.863929!4d67.0549433!16s%2Fg%2F1hc452n19!19sChIJuzDim4U-sz4R2evsZAalCdE?authuser=0&hl=en&rclk=1,2025-05-10T16:29:46.455151
Coffee Wagera Clifton (Karachi),Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/Coffee+Wagera+Clifton+%28Karachi%29/data=!4m7!3m6!1s0x3eb33d7ed6bb3c85:0x53a07613e239bf68!8m2!3d24.8107131!4d67.0180733!16s%2Fg%2F11j7h33tqv!19sChIJhTy71n49sz4RaL854hN2oFM?authuser=0&hl=en&rclk=1,2025-05-10T16:29:46.897333
Coffee Wagera Maskan (Karachi),Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/Coffee+Wagera+Maskan+%28Karachi%29/data=!4m7!3m6!1s0x3eb3394482f00745:0x9180cc57be67f4bb!8m2!3d24.9322159!4d67.1012159!16s%2Fg%2F11h_2ckd7b!19sChIJRQfwgkQ5sz4Ru_RnvlfMgJE?authuser=0&hl=en&rclk=1,2025-05-10T16:29:47.295155
The Coffee Bean & Tea Leaf,Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/The+Coffee+Bean+%26+Tea+Leaf/data=!4m7!3m6!1s0x3eb33f66c47f6f15:0x6b85cfa776d37fab!8m2!3d24.8662187!4d67.0778139!16s%2Fg%2F11v0xr7cqd!19sChIJFW9_xGY_sz4Rq3_TdqfPhWs?authuser=0&hl=en&rclk=1,2025-05-10T16:29:47.680534
Drop Coffee Bar,Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/Drop+Coffee+Bar/data=!4m7!3m6!1s0x3eb33f64f7bc47c1:0xe5e8430fa5e99807!8m2!3d24.8754087!4d67.085071!16s%2Fg%2F11scyrvnhy!19sChIJwUe892Q_sz4RB5jppQ9D6OU?authuser=0&hl=en&rclk=1,2025-05-10T16:29:48.073771
dbrewd Coffee & More,Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/dbrewd+Coffee+%26+More/data=!4m7!3m6!1s0x3eb33f40d7fd9df9:0x20e65d1d4a508566!8m2!3d24.8505898!4d67.017593!16s%2Fg%2F11v0l46kt3!19sChIJ-Z3910A_sz4RZoVQSh1d5iA?authuser=0&hl=en&rclk=1,2025-05-10T16:29:48.472812
Steamin' Coffee,Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/Steamin%27+Coffee/data=!4m7!3m6!1s0x3eb33daec4565d33:0x76d36b4134505a8a!8m2!3d24.794047!4d67.0668522!16s%2Fg%2F11t3202xtg!19sChIJM11WxK49sz4RilpQNEFr03Y?authuser=0&hl=en&rclk=1,2025-05-10T16:29:49.027277
Nadia Cafe,Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/Nadia+Cafe/data=!4m7!3m6!1s0x3eb33dd90f326a79:0x253f1a1bd9cd1555!8m2!3d24.8463357!4d67.031316!16s%2Fg%2F11g8wqf1yq!19sChIJeWoyD9k9sz4RVRXN2RsaPyU?authuser=0&hl=en&rclk=1,2025-05-10T16:29:49.438727
Blend Coffee,Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/Blend+Coffee/data=!4m7!3m6!1s0x3eb33fc3b62199df:0xf217968a3797cbeb!8m2!3d24.8804295!4d67.0696984!16s%2Fg%2F11vwdnh6t4!19sChIJ35khtsM_sz4R68uXN4qWF_I?authuser=0&hl=en&rclk=1,2025-05-10T16:29:49.845981
Coffee Wagera Bahria Town (Karachi),Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/Coffee+Wagera+Bahria+Town+%28Karachi%29/data=!4m7!3m6!1s0x3eb34b7cd9045e97:0x5f20ad5f41fe3b49!8m2!3d25.0286358!4d67.3085809!16s%2Fg%2F11p46mh2gk!19sChIJl14E2XxLsz4RSTv-QV-tIF8?authuser=0&hl=en&rclk=1,2025-05-10T16:29:50.232593
Espresso Shahbaz DHA,Google Maps,"Karachi, Pakistan",,4.2,,2,$$,,,,https://www.google.com/maps/place/Espresso+Shahbaz+DHA/data=!4m7!3m6!1s0x3eb33cf64cbd1fbf:0xabe2bd780ca4dac4!8m2!3d24.808078!4d67.0614994!16s%2Fg%2F1tgd4_h8!19sChIJvx-9TPY8sz4RxNqkDHi94qs?authuser=0&hl=en&rclk=1,2025-05-10T16:29:50.655457
