coffee_shop_name,source,location,price_level,price_text,item_name,item_price,item_description
New York Coffee۔ نیویارک کافی,Google Maps,"Karachi, Pakistan",2,$$,,,
Esquires Coffee,Google Maps,"Karachi, Pakistan",2,$$,,,
MOCCA COFFEE,Google Maps,"Karachi, Pakistan",2,$$,,,
Butlers Chocolate Café,Google Maps,"Karachi, Pakistan",2,$$,,,
FLOC - for the love of coffee,Google Maps,"Karachi, Pakistan",2,$$,,,
Esquires Coffee,Google Maps,"Karachi, Pakistan",2,$$,,,
Espresso Tipu Sultan,Google Maps,"Karachi, Pakistan",2,$$,,,
Gloria Jean's Coffees SMCHS,Google Maps,"Karachi, Pakistan",2,$$,,,
Coffee Wagera Clifton (Karachi),Google Maps,"Karachi, Pakistan",2,$$,,,
Coffee Wagera Maskan (Karachi),Google Maps,"Karachi, Pakistan",2,$$,,,
The Coffee Bean & Tea Leaf,Google Maps,"Karachi, Pakistan",2,$$,,,
Drop Coffee Bar,Google Maps,"Karachi, Pakistan",2,$$,,,
dbrewd Coffee & More,Google Maps,"Karachi, Pakistan",2,$$,,,
Steamin' Coffee,Google Maps,"Karachi, Pakistan",2,$$,,,
Nadia Cafe,Google Maps,"Karachi, Pakistan",2,$$,,,
Blend Coffee,Google Maps,"Karachi, Pakistan",2,$$,,,
Coffee Wagera Bahria Town (Karachi),Google Maps,"Karachi, Pakistan",2,$$,,,
Espresso Shahbaz DHA,Google Maps,"Karachi, Pakistan",2,$$,,,
Routine - Specialty Coffee & Cafe,Google Maps,"Karachi, Pakistan",2,$$,,,
Gloria Jean's Coffees Lucky One Mall Karachi,Google Maps,"Karachi, Pakistan",2,$$,,,
Koel Cafe,Google Maps,"Karachi, Pakistan",2,$$,,,
Sync Cafe,Google Maps,"Karachi, Pakistan",2,$$,,,
Mood Coffee,Google Maps,"Karachi, Pakistan",2,$$,,,
Kohi Coffees,Google Maps,"Karachi, Pakistan",2,$$,,,
Vintage Cafe,Google Maps,"Karachi, Pakistan",2,$$,,,
Cafe Clifton,Google Maps,"Karachi, Pakistan",2,$$,,,
Drop Coffee Bar,Google Maps,"Karachi, Pakistan",2,$$,,,
Melbrew - Tipu Sultan,Google Maps,"Karachi, Pakistan",2,$$,,,
JUNE,Google Maps,"Karachi, Pakistan",2,$$,,,
Caffé Praha,Google Maps,"Karachi, Pakistan",2,$$,,,
Contra Coffee Shop,Google Maps,"Lahore, Pakistan",3,$$$,,,
Coffee Tea & Company,Google Maps,"Lahore, Pakistan",3,$$$,,,
Mocca Coffee,Google Maps,"Lahore, Pakistan",3,$$$,,,
NORTHLANDZ | BAKERY CAFE,Google Maps,"Lahore, Pakistan",3,$$$,,,
Second Cup Coffee Company,Google Maps,"Lahore, Pakistan",3,$$$,,,
The Coffee Bean & Tea Leaf,Google Maps,"Lahore, Pakistan",3,$$$,,,
